,Event.Id,Accident.Number,Event.Date,Location,Country,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
3020,20020917X05078,NYC83LA007,1982-10-10,"ELMIRA, NY",United States,CHEMUNG CO.,Non-Fatal,Substantial,Airplane,N50BS,Globe,SWIFT GC-1B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,10-10-1983
3021,20020917X04995,MKC83LA005,1982-10-10,"CUBA, MO",United States,CUBA MUNICIPAL,Non-Fatal,Substantial,Airplane,N5829B,Cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,10-10-1983
3023,20020917X04883,LAX83LVD02A,1982-10-10,"GUALALA, CA",United States,OCEAN RIDGE,Non-Fatal,Substantial,Airplane,N29150,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,10-10-1983
3024,20020917X04821,LAX83FUM01,1982-10-10,"OCEANSIDE, CA",United States,OCEANSIDE,Fatal(4),Substantial,Airplane,N696B,Beech,A35,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,10-10-1983
3025,20020917X04448,CHI83LA012,1982-10-10,"ST. CLOUD, MN",United States,ST. CLOUD,Non-Fatal,Substantial,Airplane,N6332P,Cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-10-1983
3026,20020917X04883,LAX83LVD02B,1982-10-10,"GUALALA, CA",United States,OCEAN RIDGE,Non-Fatal,Substantial,Airplane,N8465Y,Piper,PA-28R,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,10-10-1983
3029,20020917X05148,SEA83LA005,1982-10-11,"SEATTLE, WA",United States,BOEING FIELD,Non-Fatal,Substantial,Airplane,N5894C,Beech,C35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,11-10-1983
3031,20020917X04807,LAX83FUG02,1982-10-11,"REDLANDS, CA",United States,REDLANDS MUNICIPAL,Non-Fatal,Substantial,Airplane,N1252W,Waco,SRE,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,11-10-1983
3032,20020917X04684,FTW83LA014,1982-10-11,"SAN ANTONIO, TX",United States,SAN ANTONIO INTER,Non-Fatal,Substantial,Airplane,N6599C,Cessna,414A,No,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,11-10-1983
3033,20020917X04997,MKC83LA007,1982-10-12,"LEXINGTON, MO",United States,LEXINGTON MUNICIPAL,Non-Fatal,Destroyed,Airplane,N28M,Smith Miniplane,MINI,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,12-10-1983
3035,20020917X04556,DEN83LA007,1982-10-12,"BLANDING, UT",United States,BLANDING CITY MUNICIPAL,Non-Fatal,Destroyed,Helicopter,N5316V,Hiller,UH-12C,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,12-10-1983
3037,20020917X04986,MKC83FCQ01,1982-10-12,"HALSTEAD, KS",United States,HALSTEAD AIRPORT (PRI.),Non-Fatal,Substantial,Airplane,N8311E,Mooney,M20A,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,12-10-1983
3039,20020917X05150,SEA83LA007,1982-10-13,"BELLEVUE, WA",United States,BELLEVUE AIRFIELD,Non-Fatal,Substantial,Airplane,N6GD,Cessna,340,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,13-10-1983
3040,20020917X04875,LAX83LUG03,1982-10-13,"REDLANDS, CA",United States,REDLANDS MUNICIPAL,Non-Fatal,Substantial,Airplane,N8256H,Piper,PA-28-161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,13-10-1983
3041,20020917X04683,FTW83LA013,1982-10-13,"HOUSTON, TX",United States,HOBBY FIELD,Non-Fatal,Substantial,Airplane,N5697P,Piper,PA-24-250,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,13-10-1983
3044,20020917X04531,DEN83FA008,1982-10-14,"CHOTEAU, MT",United States,CHOTEAU,Fatal(2),Substantial,Airplane,N2231B,Luscombe,T-8F,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,14-10-1983
3048,20020917X04426,CHI83FA016,1982-10-15,"DELAVAN, WI",United States,LAKE LAWN,Fatal(1),Destroyed,Airplane,N1094K,Luscombe,8A,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,15-10-1983
3050,20020917X04998,MKC83LA008,1982-10-15,"TOPEKA, KS",United States,PHILIP BILLARD MUNI,Non-Fatal,Substantial,Airplane,N757JT,Cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,15-10-1983
3051,20020917X04685,FTW83LA015,1982-10-15,"IOTA, LA",United States,PRIVATE FARM STRIP,Non-Fatal,Substantial,Airplane,N89003,Cessna,140,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,15-10-1983
3053,20020917X04317,ATL83FIG01,1982-10-15,"MITCHELLVILLE, MD",United States,FREEWAY,Non-Fatal,Substantial,Airplane,N6214F,Cessna,172N,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,15-10-1983
3054,20020917X04780,LAX83FA002,1982-10-15,"PALM SPRINGS, CA",United States,PALM SPRINGS,Non-Fatal,Substantial,Airplane,N63SA,Swearingen,SA-226TC,No,2.0,Turbo Prop,Unknown,0.0,0.0,1.0,17.0,VMC,Standing,Probable Cause,15-10-1983
3055,20020917X04453,CHI83LA019,1982-10-15,"INDIANAPOLIS, IN",United States,EAGLE CREEK,Non-Fatal,Substantial,Airplane,N6803A,Piper,PA-23-250,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,15-10-1983
3056,20020917X04844,LAX83LA013,1982-10-16,"OCEANSIDE, CA",United States,OCEANSIDE MUNICIPAL,Non-Fatal,Destroyed,Airplane,N7873D,Piper,PA-18,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,16-10-1983
3060,20020917X05000,MKC83LA010,1982-10-16,"MCCONNELL AFB, KS",United States,MCCONNELL AFB,Non-Fatal,Substantial,Airplane,N15846,Beech,E17L,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,16-10-1983
3062,20020917X04457,CHI83LA026,1982-10-16,"STEVENS POINT, WI",United States,STEVENS POINT,Non-Fatal,Substantial,Airplane,N2428L,Piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,16-10-1983
3063,20020917X04451,CHI83LA017,1982-10-16,"CLEVELAND, OH",United States,BURKE LAKEFRONT,Non-Fatal,Substantial,Airplane,N5379U,Cessna,206,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,16-10-1983
3064,20020917X04348,ATL83LA010,1982-10-16,"CAMDEN, SC",United States,WOODARD,Non-Fatal,Substantial,Airplane,N4186S,Beech,95-B55,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,16-10-1983
3065,20020917X04845,LAX83LA014,1982-10-17,"RENO, NV",United States,CANNON INTERNATIONAL,Non-Fatal,Destroyed,Airplane,N8176W,Piper,PA28-180,No,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,Approach,Probable Cause,17-10-1983
3066,20020917X04782,LAX83FA012,1982-10-17,"TAFT, CA",United States,PRIVATE AIRPORT,Fatal(14),Destroyed,Airplane,N403SE,Beech,C-45H,No,2.0,Reciprocating,Skydiving,14.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,17-10-2016
3067,20020917X04540,DEN83FTA01,1982-10-17,"RED LODGE, MT",United States,RED LODGE,Non-Fatal,Destroyed,Airplane,N5539M,Aero Commander,100,No,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,VMC,Takeoff,Probable Cause,17-10-1983
3068,20020917X05082,NYC83LA011,1982-10-17,"MECKLENBURG, NY",United States,GRUND FIELD,Non-Fatal,Substantial,Glider,N17965,Schweizer,SGS2-33AK,No,0.0,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,17-10-1983
3069,20020917X05081,NYC83LA010,1982-10-17,"ALLENTOWN, PA",United States,QUEEN CITY,Non-Fatal,Substantial,Airplane,N7518Y,Piper,PA-30,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,17-10-1983
3070,20020917X04999,MKC83LA009,1982-10-17,"BATES CITY, MO",United States,IKE CHURCH FARM,Non-Fatal,Substantial,Airplane,N41W,Smith,MINIPLANE,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,17-10-1983
3071,20020917X04987,MKC83FCQ02,1982-10-17,"BAXTER SPRINGS, KS",United States,WALTER A.SWALLEY AIRPARK,Non-Fatal,Substantial,Airplane,N4581Z,Piper,PA-22-108,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,17-10-1983
3072,20020917X04926,MIA83LA013,1982-10-17,"BROOKSVILLE, FL",United States,PILOT COUNTRY ESTATES,Non-Fatal,Substantial,Airplane,N1892Q,Cessna,177RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,17-10-1983
3074,20020917X04455,CHI83LA021,1982-10-17,"INDIANAPOLIS, IN",United States,INDIANAPOLIS INT'L. APRT.,Non-Fatal,Substantial,Airplane,N173MA,Swearingen,SA227-AC,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,8.0,VMC,Taxi,Probable Cause,17-10-1983
3075,20020917X04905,MIA83FA014,1982-10-18,"FORT LAUDERDALE, FL",United States,HOLLYWOOD INTERNATIONAL,Fatal(1),Destroyed,Airplane,N64419,Cessna,172M,No,1.0,Reciprocating,Personal,1.0,2.0,0.0,0.0,VMC,Landing,Probable Cause,18-10-1983
3076,20020917X04495,DCA83IA002,1982-10-18,"HOUSTON, TX",United States,HOUSTON INTERNATIONAL,Incident,Minor,Airplane,N536TX,Douglas,DC-9-30,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,VMC,Takeoff,Probable Cause,18-10-1983
3079,20020917X04846,LAX83LA015,1982-10-18,"UKIAH, CA",United States,UKIAH,Non-Fatal,Substantial,Airplane,N29719,Taylorcraft,BC12-65,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,18-10-1983
3080,20020917X04813,LAX83FUJ01,1982-10-18,"NEW RIVER, AZ",United States,PLEASANT VALLEY AIRPORT,Fatal(1),Substantial,Airplane,N9897L,Grumman American,AA-1B,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,18-10-1983
3084,20020917X05001,MKC83LA011,1982-10-19,"HUTCHINSON, KS",United States,HUTCHINSON MUNI,Non-Fatal,Substantial,Airplane,N63648,Cessna,172PII,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,19-10-1983
3085,20020917X04928,MIA83LA016,1982-10-19,"ST. AUGUSTINE, FL",United States,ST. AUGUSTINE,Non-Fatal,Substantial,Airplane,N12927,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,19-10-1983
3090,20020917X04849,LAX83LA018,1982-10-20,"CHICO, CA",United States,CHICO,Non-Fatal,Substantial,Airplane,N6583X,Cessna,210,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-10-1983
3091,20020917X04830,LAX83FVM02,1982-10-20,"HOLLISTER, CA",United States,HOLLISTER,Non-Fatal,Substantial,Airplane,N19473,Beech,F17D,No,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,20-10-1983
3092,20020917X04350,ATL83LA015,1982-10-20,"N. MYRTLE BEACH, SC",United States,GRAND STRAND,Non-Fatal,Substantial,Airplane,N62721,Piper,PA-23-250,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,20-10-1983
3093,20020917X04295,ATL83FA013,1982-10-20,"LEXINGTON, SC",United States,FALCON AIRPORT,Fatal(1),Substantial,Airplane,N9143T,Beech,B-23,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,20-10-1983
3095,20020917X04848,LAX83LA017,1982-10-21,"DEER VALLEY, AZ",United States,DEER VALLEY,Non-Fatal,Destroyed,Airplane,N1496M,Cessna,182,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause,21-10-1983
3097,20020917X04809,LAX83FUG05,1982-10-21,"CHINO, CA",United States,CHINO,Non-Fatal,Substantial,Airplane,N1320,E.l. Craig,CRAIGCRAFT,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,21-10-1983
3100,20020917X05152,SEA83LA010,1982-10-22,"REDMOND, OR",United States,ROBERTS FIELD,Non-Fatal,Substantial,Airplane,N8714T,Cessna,182B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,22-10-1983
3102,20020917X04583,DEN83LTK01,1982-10-22,"WATERTOWN, SD",United States,WATERTOWN MUNICIPAL,Non-Fatal,Substantial,Airplane,N3133L,Eipper-formance,MX-II,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,22-10-1983
3103,20020917X04558,DEN83LA011,1982-10-23,"CAMP CROOK, SD",United States,TENNANT RANCH,Non-Fatal,Destroyed,Airplane,N1190A,Piper,PA-18-125,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,VMC,Maneuvering,Probable Cause,23-10-1983
3106,20020917X04429,CHI83FA024,1982-10-23,"SEYMOUR, IN",United States,FREEMAN MUNI,Fatal(1),Destroyed,Airplane,N122EF,C. Eff,VARI-EZE,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,23-10-1983
3109,20020917X04691,FTW83LA022,1982-10-23,"ABILENE, TX",United States,ABILENE MUNICIPLE,Non-Fatal,Substantial,Airplane,N7937D,Beech,H35,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,23-10-1983
3110,20020917X04688,FTW83LA019,1982-10-23,"PIEDMONT, OK",United States,JACK RICHARDS,Non-Fatal,Substantial,Airplane,N11T,North American,F-51D,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,23-10-1983
3111,20020917X04655,FTW83FPM02,1982-10-23,"3 1/2 NM ENE DI, OK",United States,PRIVATE STRIP,Fatal(1),Substantial,Airplane,N4555J,American,AA-5B,No,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,23-10-1983
3112,20020917X04229,ANC83LA006,1982-10-23,"NEAR HOMER, AK",United States,GRAVEL BAR,Non-Fatal,Substantial,Airplane,N6871X,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,23-10-1983
3114,20020917X04690,FTW83LA021,1982-10-24,"BASTROP, LA",United States,MOREHOUSE MEM.,Non-Fatal,Destroyed,Airplane,N1739H,Cessna,310C,No,2.0,Reciprocating,Business,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,24-10-1983
3117,20020917X05055,NYC83FA012,1982-10-24,"DEXTER, NY",United States,WATERTOWN INTERNATIONAL,Non-Fatal,Substantial,Airplane,N4031W,Piper,PA-32-300,No,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Climb,Probable Cause,24-10-1983
3119,20020917X04808,LAX83FUG04,1982-10-24,"UPLAND, CA",United States,CABLE AIRPORT,Non-Fatal,Substantial,Airplane,N7856Q,Cessna,402B,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,24-10-1983
3120,20020917X04456,CHI83LA025,1982-10-24,"LANSING, IL",United States,LANSING,Non-Fatal,Substantial,Airplane,N23388,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,3.0,1.0,IMC,Cruise,Probable Cause,24-10-1983
3121,20020917X04689,FTW83LA020,1982-10-24,"SWEETWATER, TX",United States,SWEETWATER,Non-Fatal,Substantial,Airplane,N38449,Piper,J-3,Yes,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,24-10-1983
3122,20020917X05072,NYC83IA013B,1982-10-25,"AUGUSTA, ME",United States,AUGUSTA,Incident,Minor,Airplane,N5742T,Cessna,172E,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,25-10-1983
3123,20020917X05072,NYC83IA013A,1982-10-25,"AUGUSTA, ME",United States,AUGUSTA,Incident,Minor,Airplane,N25973,Piper,J3C-65,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause,25-10-1983
3125,20020917X04984,MKC83FCA01,1982-10-25,"ST. CHARLES, MO",United States,ST. CHARLES,Fatal(4),Substantial,Airplane,N8184Y,Piper,PA-28-161,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,25-10-1983
3126,20020917X04658,FTW83FQA01,1982-10-25,"MORIARTY, NM",United States,MORIARTY,Fatal(1),Substantial,Airplane,N19L,Cassutt,111M,Yes,1.0,Reciprocating,Ferry,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-10-1983
3129,20020917X04543,DEN83FTE01,1982-10-26,"ERIE, CO",United States,TRI-COUNTY,Non-Fatal,Destroyed,Airplane,N21SH,J.a.mullan,DRAGONFLY,Yes,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,26-10-1983
3130,20020917X04224,ANC83IA007,1982-10-26,"HOMER, AK",United States,BELUGA LAKE SEAPLANE,Incident,Minor,Airplane,N3904,De Havilland,DHC-3,No,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,26-10-1983
3131,20020917X04931,MIA83LA021,1982-10-26,"DAYTONA BEACH, FL",United States,DAYTONA BEACH - REGIONAL,Non-Fatal,Substantial,Airplane,N330FT,Piper,PA-28-161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,26-10-1983
3133,20020917X04692,FTW83LA023,1982-10-26,"GRANTS, NM",United States,GRANTS MUNICIPAL,Non-Fatal,Substantial,Airplane,N24WD,Quickie,TWO,Yes,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,26-10-1983
3134,20020917X04634,FTW83AA024B,1982-10-27,"CARROLLTON, TX",United States,ADDISON,Fatal(4),Destroyed,Airplane,N72430,Cessna,337G,No,2.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Climb,Probable Cause,27-10-1983
3135,20020917X04634,FTW83AA024A,1982-10-27,"CARROLLTON, TX",United States,ADDISON,Fatal(4),Destroyed,Airplane,N100FD,Piper,PA-31P,No,2.0,Reciprocating,Business,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,27-10-1983
3137,20020917X05083,NYC83LA014,1982-10-27,"BUCKINGHAM, PA",United States,WARRINGTON,Non-Fatal,Substantial,Airplane,N4956L,Piper,PA-28-180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,27-10-1983
3138,20020917X04352,ATL83LA017,1982-10-27,"YOUNGSVILLE, NC",United States,ALLEN FIELD,Non-Fatal,Substantial,Airplane,N11576,Cessna,170A,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,27-10-1983
3140,20020917X04496,DCA83IA003,1982-10-28,"WILMINGTON, DE",United States,GREATER WILMINGTON,Incident,Minor,Airplane,N213DS,Beech,E90,Yes,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-10-1983
3141,20020917X04335,ATL83IA018,1982-10-28,"CLARKSVILLE, TN",United States,OUTLAW FIELD,Incident,Minor,Airplane,N4099A,Beech,B99,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-1983
3142,20020917X04694,FTW83LA026,1982-10-28,"AZTEC, NM",United States,AZTEC MUNICIPAL,Non-Fatal,Substantial,Airplane,N4860B,Cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-1983
3143,20020917X04693,FTW83LA025,1982-10-28,"MCALLEN, TX",United States,MILLER FIELD,Non-Fatal,Substantial,Airplane,N47916,Piper,PA-28-161,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,28-10-1983
3145,20020917X04459,CHI83LA028,1982-10-28,"COLUMBUS, OH",United States,PORT COLUMBUS,Non-Fatal,Substantial,Airplane,N7850Y,Piper,PA-30,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-10-1983
3146,20020917X05053,NYC83FA004,1982-10-29,"AUGUSTA, ME",United States,AUGUSTA STATE,Fatal(1),Destroyed,Airplane,N90439,Ted Smith,601P,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,29-10-1983
3154,20020917X04661,FTW83FRA01,1982-10-30,"WOODVILLE, TX",United States,WOODVILLE,Fatal(3),Substantial,Airplane,N3858K,Piper,PA-28-140,No,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Unknown,Probable Cause,30-10-1983
3155,20020917X04460,CHI83LA029,1982-10-30,"LANSING, IL",United States,LANSING,Non-Fatal,Substantial,Airplane,N13625,Flagg,13,Yes,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-10-1983
3156,20020917X04230,ANC83LA008,1982-10-30,"SHISHMAREF, AK",United States,SHISHMAREF,Non-Fatal,Substantial,Airplane,N63AT,Arctic Aircraft,S1B2,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,UNK,Approach,Probable Cause,30-10-1983
3157,20020917X04666,FTW83FRG02,1982-10-31,"SAN ANTONIO, TX",United States,MIDLAKE AIRPORT,Non-Fatal,Destroyed,Airplane,N71557,Luscombe,8A,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,31-10-1983
3158,20020917X04650,FTW83FPG01,1982-10-31,"NORTH LITTLE RO, AR",United States,NORTH LITTLE ROCK,Non-Fatal,Destroyed,Airplane,N29457,Cessna,177,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,31-10-1983
3159,20020917X04639,FTW83FA027,1982-10-31,"BATON ROUGE, LA",United States,RYAN AIRPORT,Fatal(3),Destroyed,Airplane,N41045,Piper,PA-31-350,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,31-10-1983
3163,20020917X05156,SEA83LA014,1982-10-31,"CASCADE LOCKS, OR",United States,STEVENSON STATE,Non-Fatal,Substantial,Airplane,N6936P,Piper,PA-24-180,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,31-10-1983
3166,20020917X04461,CHI83LA030,1982-10-31,"BOONVILLE, IN",United States,BOONVILLE,Non-Fatal,Substantial,Airplane,N91358,Piper,PA-38-112,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,31-10-1983
3169,20020917X04462,CHI83LA031,1982-11-01,"MARSHALL, MN",United States,RYAN FIELD,Non-Fatal,Destroyed,Airplane,N6246J,Piper,PA-28-181,No,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,IMC,Takeoff,Probable Cause,01-11-1983
3171,20020917X05158,SEA83LA016,1982-11-01,"RITZVILLE, WA",United States,PRU FIELD,Non-Fatal,Substantial,Airplane,N1571R,Grumman American,AA-1B,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,01-11-1983
3173,20020917X04355,ATL83LA022,1982-11-01,"WINSTON-SALEM, NC",United States,SMITH-REYNOLDS,Non-Fatal,Substantial,Airplane,N711GD,Beech,B90,No,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,01-11-1983
3174,20020917X05056,NYC83FA016,1982-11-01,"MEADVILLE, PA",United States,PORT MEADVILLE,Non-Fatal,Substantial,Airplane,N402DL,Cessna,402B,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,01-11-1983
3181,20020917X05006,MKC83LA016,1982-11-02,"EXCELSIOR SPGS., MO",United States,EXCELSIOR SPRING MEMORIAL,Non-Fatal,Substantial,Airplane,N5958S,Beech,A23-19,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,02-11-1983
3183,20020917X05085,NYC83LA019,1982-11-03,"WILLIMATIC, CT",United States,WINDHAM,Non-Fatal,Substantial,Airplane,N7423R,Piper,PA-28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,02-07-2012
3184,20020917X05005,MKC83LA015,1982-11-03,"KANSAS CITY, MO",United States,KANSAS CITY INTERNATIONAL,Non-Fatal,Substantial,Airplane,N65685,Cessna,172P,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,03-11-1983
3185,20020917X04876,LAX83LUG06,1982-11-03,"RIALTO, CA",United States,RIALTO-MIRO,Non-Fatal,Substantial,Airplane,N1441X,Piper,PA28-140,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,03-11-1983
3186,20020917X04298,ATL83FA024,1982-11-03,"CHATTANOOGA, TN",United States,LOVELL FIELD,Non-Fatal,Substantial,Airplane,N4958U,Cessna,210E,No,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,03-11-1983
3187,20020917X04232,ANC83LA011,1982-11-03,"QUINHAGAK, AK",United States,KWINHAGAK,Non-Fatal,Substantial,Airplane,N3582B,Beech,50,No,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,03-11-1983
3188,20020917X04932,MIA83LA023,1982-11-04,"EVERGLADES CITY, FL",United States,EVERGLADES,Non-Fatal,Destroyed,Airplane,N714LB,Cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,04-11-1983
